proto,subproto,bulk0,bulk1,bulk2,bulk3,client_packet0,client_packet1,server_packet0,server_packet1,client_bulksize_avg,client_bulksize_dev,server_bulksize_avg,server_bulksize_dev,client_packetsize_avg,client_packetsize_dev,server_packetsize_avg,server_packetsize_dev,client_packets_per_bulk,server_packets_per_bulk,client_effeciency,server_efficiency,byte_ratio,payload_ratio,packet_ratio,client_bytes,client_payload,client_packets,client_bulks,server_bytes,server_payload,server_packets,server_bulks,is_tcp
TLS,Telegram,225,105,105,105,245,125,125,125,165.0,60.0,105.0,0.0,102.5,92.76987657639737,90.0,49.49747468305833,2.0,1.5,0.8048780487804879,0.7777777777777778,1.5185185185185186,1.5714285714285714,1.3333333333333333,410,330,4,2,270,210,3,2,1
TLS,Telegram,217,85,572,5161,237,592,105,221,394.5,177.5,2623.0,2538.0,217.25,233.79625210854002,894.3333333333334,518.2138125866152,2.0,3.0,0.9079401611047181,0.9776369735370853,0.16194558330227357,0.15040030499428136,0.6666666666666666,869,789,4,2,5366,5246,6,2,1
QUIC,Google,1324,2121,705,25,1258,82,1258,89,1014.5,309.5,1073.0,1048.0,346.1666666666667,447.93132534153295,544.5,510.50391771268517,3.0,2.0,0.9768897448242657,0.9853076216712581,0.9536271808999082,0.945479962721342,1.5,2077,2029,6,2,2178,2146,4,2,0
TLS,Cybersec,232,3169,126,51,252,20,20,1480,319.3333333333333,203.12448290532473,1189.6666666666667,1404.8775351926192,259.5,223.75153630757487,614.8333333333334,622.7148669781022,1.3333333333333333,2.0,0.9229287090558767,0.9674708593114665,0.2813770669558146,0.26842252731857663,0.6666666666666666,1038,958,4,3,3689,3569,6,3,1
QUIC,Google,2955,936,1250,735,1258,81,799,103,2102.5,852.5,835.5,100.5,849.0,509.0060903368446,342.2,351.4919060234531,2.5,2.5,0.9905771495877503,0.9766218585622443,2.4810052600818233,2.516457211250748,1.0,4245,4205,5,2,1711,1671,5,2,0
QUIC,YouTube,2264,3401,0,0,1258,88,1258,792,2264.0,0.0,3401.0,0.0,574.0,488.5831556654404,574.8333333333334,548.9630882147015,4.0,6.0,0.9860627177700348,0.9860829225862568,0.665700202957379,0.6656865627756542,0.6666666666666666,2296,2264,4,1,3449,3401,6,1,0
TLS,,521,150,2105,78,541,71,20,170,1313.0,792.0,114.0,36.0,545.2,487.8099629978871,65.6,60.3111929910195,2.5,2.5,0.9633162142333089,0.6951219512195121,8.310975609756097,11.517543859649123,1.0,2726,2626,5,2,328,228,5,2,1
TLS,,522,150,3024,0,542,71,20,170,1773.0,1251.0,150.0,0.0,611.0,601.1538904473629,57.5,64.9519052838329,3.0,4.0,0.967266775777414,0.6521739130434783,15.939130434782609,23.64,1.5,3666,3546,6,2,230,150,4,1,1
TLS,,526,4562,821,0,546,20,20,1480,673.5,147.5,4562.0,0.0,356.75,283.7140946445911,780.3333333333334,702.2918829723785,2.0,6.0,0.9439383321653819,0.9743699273814609,0.3047842802221273,0.29526523454625164,0.6666666666666666,1427,1347,4,2,4682,4562,6,1,1
TLS,,607,250,80,62,627,100,20,270,429.3333333333333,247.02811355975032,156.0,94.0,234.66666666666666,236.7373133993785,98.0,102.4792661956554,2.0,2.0,0.9147727272727273,0.7959183673469388,3.5918367346938775,4.128205128205129,1.5,1408,1288,6,3,392,312,4,2,1
TLS,,526,3244,126,274,546,20,20,1480,217.66666666666666,223.91714737574006,1759.0,1485.0,150.6,203.60314339420202,723.6,627.3734454055256,1.6666666666666667,2.5,0.8671978751660027,0.9723604201216142,0.20812603648424544,0.1856168277430358,1.0,753,653,5,3,3618,3518,5,2,1
TLS,,529,3244,126,274,549,20,20,1480,327.5,201.5,1759.0,1485.0,183.75,217.06033147491505,606.3333333333334,629.8850865215196,2.0,3.0,0.891156462585034,0.9670148433205058,0.20203408466190215,0.18618533257532688,0.6666666666666666,735,655,4,2,3638,3518,6,2,1
TLS,,517,3297,2850,0,537,20,20,397,1683.5,1166.5,3297.0,0.0,581.1666666666666,594.8407116381849,844.25,649.5723112171577,3.0,4.0,0.9655864640091769,0.9763103346165235,1.0325732899022801,1.0212314225053079,1.5,3487,3367,6,2,3377,3297,4,1,1
TLS,,517,3277,126,327,537,20,20,1480,321.5,195.5,1802.0,1475.0,180.75,212.0157718189852,620.6666666666666,618.7583445004107,2.0,3.0,0.8893499308437067,0.9677765843179377,0.19414607948442536,0.1784128745837958,0.6666666666666666,723,643,4,2,3724,3604,6,2,1
TLS,,517,3277,1685,0,537,32,20,1480,1101.0,584.0,3277.0,0.0,389.0,517.6459536530092,839.25,653.063310483754,3.0,4.0,0.9434447300771208,0.976169198689306,0.6952636282394995,0.6719560573695453,1.5,2334,2202,6,2,3357,3277,4,1,1
DNS,,32,96,40,77,40,48,104,85,34.0,4.320493798938574,73.0,20.607442021431645,42.0,4.320493798938574,81.0,20.607442021431645,1.0,1.0,0.8095238095238095,0.9012345679012346,0.5185185185185185,0.4657534246575342,1.0,126,102,3,3,243,219,3,3,0
TLS,,521,150,580,2898,541,71,20,170,550.5,29.5,1524.0,1374.0,295.25,203.5268716902021,528.0,639.8437309218556,2.0,3.0,0.9322607959356477,0.9621212121212122,0.37279040404040403,0.3612204724409449,0.6666666666666666,1181,1101,4,2,3168,3048,6,2,1
